,concolato,tiddi,0602117v1,abdessalemprobabilistic,MPEG-DASH
semantic,0,0.0101265822785,0,0,0
dynamic,0,0,0,0,0.00641025641026
existing,0.00558659217877,0,0,0,0
scalar,0,0,0.00851063829787,0,0
query,0,0,0,0.014201183432,0
whose,0,0.0042194092827,0,0,0
graph,0,0.0185654008439,0,0,0
technique,0,0.00506329113924,0,0,0
program,0.0307262569832,0,0,0,0
presentation,0.0921787709497,0,0,0,0
∼,0,0,0.00822695035461,0,0
sent,0.00698324022346,0,0,0,0
case,0.00698324022346,0,0,0.010650887574,0
synchronized,0,0,0,0,0.00854700854701
P,0,0,0.0104964539007,0.00710059171598,0
presented,0,0.00590717299578,0,0,0
solution,0,0,0.00992907801418,0,0.00854700854701
t1,0,0,0,0.00710059171598,0
large,0,0,0.00822695035461,0,0
p,0,0,0.011914893617,0,0
small,0,0,0.00879432624113,0,0.0042735042735
HTTP,0,0,0,0,0.017094017094
rate,0,0,0.010780141844,0,0
design,0.00558659217877,0,0,0,0
enhancement,0,0,0,0,0.00641025641026
∧,0,0,0,0.00473372781065,0
section,0.00698324022346,0,0,0.0236686390533,0
multimedia,0.00558659217877,0,0,0,0
template,0.0195530726257,0,0,0,0
international,0,0.0042194092827,0,0,0
method,0.00698324022346,0,0,0,0
metadata,0.0432960893855,0,0,0,0
K,0,0.00675105485232,0,0,0
let,0,0,0.0090780141844,0,0
change,0.00698324022346,0,0,0,0
box,0.00698324022346,0,0,0,0
search,0,0.00928270042194,0,0,0
k,0,0,0.0263829787234,0,0
base,0,0,0,0,0.00641025641026
implement,0.00558659217877,0,0,0,0
navigation,0.00837988826816,0,0,0,0
dedalo,0,0.0160337552743,0,0,0
ﬁrst,0,0.00590717299578,0.0110638297872,0.00473372781065,0
−,0,0,0.0445390070922,0,0
use,0.0153631284916,0.00675105485232,0,0.0130177514793,0.0106837606838
prei,0,0,0,0.00710059171598,0
figure,0.0125698324022,0.00675105485232,0,0.010650887574,0.00854700854701
would,0.00558659217877,0.00590717299578,0,0,0
live,0,0,0,0,0.0320512820513
dbpedia,0,0.0143459915612,0,0,0
η,0,0,0.00737588652482,0,0
type,0.00698324022346,0,0,0,0
V,0,0,0.0175886524823,0,0
knowl,0,0.00590717299578,0,0,0
graphic,0.00558659217877,0,0,0,0
word,0,0.042194092827,0,0,0
player,0.00698324022346,0,0,0,0
NTP,0,0,0,0,0.0128205128205
equation,0,0,0.0314893617021,0,0
work,0.00698324022346,0.010970464135,0,0.00473372781065,0.0106837606838
Φ,0,0,0.0215602836879,0,0
paragraph,0,0,0,0.00710059171598,0
example,0.00558659217877,0.00675105485232,0,0.00710059171598,0
,0,0,0.00851063829787,0,0
cosmological,0,0,0.0178723404255,0,0
give,0,0.00506329113924,0.00964539007092,0,0
process,0,0.0168776371308,0,0.00591715976331,0
topic,0,0.0143459915612,0,0,0
∝,0,0,0.017304964539,0,0
information,0.0195530726257,0.00506329113924,0,0,0.0128205128205
ﬁe,0,0,0,0.0130177514793,0
delay,0,0,0,0,0.00854700854701
conﬂicts,0,0,0,0.00591715976331,0
ordinary,0,0,0,0.010650887574,0
A,0,0,0.0198581560284,0.0130177514793,0
description,0.00698324022346,0,0,0,0
may,0,0,0,0.00828402366864,0.0106837606838
different,0.00698324022346,0,0,0,0.00854700854701
preprocessing,0,0.00506329113924,0,0,0
fk,0,0,0,0.00591715976331,0
data,0.0502793296089,0.0548523206751,0,0.0165680473373,0.00641025641026
