,MPEG-Dash,virtualsplitter,MSoS,SyncDelivery,LowLatencyLiveStreaming,DocStreaming,FastDashBootstrap
code,0,0.00431861804223,0,0,0,0,0
semantic,0,0.00239923224568,0,0,0,0,0
global,0,0,0.00282752120641,0,0,0,0
dynamic,0.00326086956522,0.00431861804223,0,0,0,0,0
splitting,0,0.0100767754319,0.00188501413761,0,0,0,0
existing,0,0.00239923224568,0.00235626767201,0,0,0,0.00235610905419
query,0,0.00287907869482,0,0,0,0,0
technique,0,0.00239923224568,0.00235626767201,0,0,0,0
environment,0,0.00335892514395,0.00329877474081,0,0,0,0
GT,0,0,0.00329877474081,0,0,0,0
dejittering,0.00326086956522,0,0,0,0,0,0
difference,0,0,0,0,0.00374531835206,0,0
offline,0,0,0,0,0,0.00375939849624,0
splitter,0,0.00335892514395,0,0,0,0,0
accompanying,0,0,0,0,0,0.00438596491228,0
transmission,0,0,0,0,0,0.00375939849624,0
list,0,0.00623800383877,0,0,0,0,0
solution,0.00434782608696,0,0,0.00417412045319,0,0,0
phase,0,0.010556621881,0.00235626767201,0,0,0,0.0040390440929
recall,0,0,0.00329877474081,0,0,0,0
small,0.00217391304348,0,0,0,0,0,0
HTTP,0.00869565217391,0,0,0,0.0173646578141,0,0.00908784920902
rate,0,0,0,0,0.00204290091931,0,0
video,0.00652173913043,0.00479846449136,0.00659754948162,0.0161001788909,0.00919305413687,0.00375939849624,0.00504880511612
enhancement,0.00326086956522,0,0,0,0,0,0
download,0,0,0,0,0.00238338440586,0,0.00673174015483
even,0,0,0,0.00238521168754,0,0,0
section,0,0.00431861804223,0.00377002827521,0.00298151460942,0.00204290091931,0.00501253132832,0.00336587007742
ISOBMFF,0,0,0,0,0.00272386789241,0,0
decoding,0,0,0,0,0.00204290091931,0,0
HTML,0,0.00335892514395,0.00235626767201,0,0,0,0
international,0,0,0,0.00477042337507,0,0,0
method,0,0,0.00612629594722,0,0,0.00438596491228,0.00538539212386
metadata,0,0.00239923224568,0,0,0,0.00689223057644,0
supporting,0,0.00191938579655,0,0,0,0,0
segmentation,0,0,0.0179076343073,0,0.00204290091931,0,0
base64,0,0,0,0,0,0,0.00302928306967
xmlbased,0,0,0,0.00178890876565,0,0,0
bitrate,0,0,0,0,0.00374531835206,0,0
change,0,0.00623800383877,0,0,0,0,0
box,0,0,0,0,0,0,0.00235610905419
buck,0,0,0,0,0.00238338440586,0,0
multicast,0.00326086956522,0,0,0,0,0,0
bom,0,0,0.00895381715363,0,0,0,0
X3DOM,0,0,0,0.00417412045319,0,0,0
via,0,0,0,0,0,0.00187969924812,0
figure,0.00434782608696,0.00335892514395,0.00377002827521,0.00536672629696,0,0.0093984962406,0
DOM,0,0.00767754318618,0.0113100848256,0,0,0,0
logical,0,0,0.01178133836,0,0,0,0
ﬁrst,0,0.00287907869482,0.00188501413761,0.00238521168754,0,0,0
total,0,0,0,0,0,0,0.00269269606193
use,0.0054347826087,0.00239923224568,0,0,0.00476676881171,0.00501253132832,0.00235610905419
stream,0.00434782608696,0,0,0.00655933214073,0.00204290091931,0.00751879699248,0
consumption,0,0,0,0,0,0.00250626566416,0
live,0.0163043478261,0,0,0,0.00612870275792,0.00375939849624,0.00269269606193
overhead,0,0,0,0,0.0163432073544,0,0
therefore,0,0,0,0,0,0,0.00201952204645
TABLE,0,0,0,0,0.00238338440586,0,0
type,0,0,0.00188501413761,0.00357781753131,0,0.00250626566416,0.00201952204645
separated,0,0,0.00188501413761,0,0,0,0
limitation,0,0.00191938579655,0,0,0,0,0
visual,0,0.00191938579655,0.00329877474081,0,0,0,0
particular,0,0,0,0,0.00238338440586,0,0
graphic,0,0,0,0.00477042337507,0,0,0
NTP,0.00652173913043,0,0,0,0,0,0
work,0.0054347826087,0.00383877159309,0.00377002827521,0.00357781753131,0.00204290091931,0.00187969924812,0
labeled,0,0,0.00706880301602,0,0,0,0
dashjs,0,0,0,0,0,0,0.00235610905419
example,0,0,0,0,0,0.00250626566416,0
control,0,0,0.00235626767201,0,0,0,0
synchronized,0.00434782608696,0,0,0,0,0,0
process,0,0.00287907869482,0,0,0,0,0
attribute,0,0.00383877159309,0,0,0,0.00250626566416,0
sample,0,0,0,0.010137149672,0,0.016290726817,0
tag,0,0,0.00235626767201,0,0,0.00501253132832,0
information,0.00652173913043,0.00431861804223,0.00282752120641,0,0,0.0031328320802,0.00302928306967
ie,0.00434782608696,0.00383877159309,0.00424128180961,0,0.00272386789241,0,0
feature,0,0,0.00377002827521,0,0,0,0
delay,0.00434782608696,0,0,0,0.00272386789241,0,0.0161561763716
playback,0,0,0,0.00238521168754,0,0,0
criterion,0,0.00287907869482,0,0,0,0,0
HTTP2,0,0,0,0,0,0,0.00942443621676
lowlatency,0.00652173913043,0,0,0,0,0,0
A,0,0.00287907869482,0.00282752120641,0.0077519379845,0,0.0031328320802,0.00336587007742
map,0,0.00239923224568,0,0,0,0,0
may,0.0054347826087,0,0,0,0,0,0
mapping,0,0.0119961612284,0,0,0,0,0
dc,0,0,0,0,0.00238338440586,0,0
produce,0,0,0.00329877474081,0,0,0,0
data,0.00326086956522,0,0,0.00477042337507,0.00204290091931,0.0137844611529,0.0040390440929
annotation,0,0.00287907869482,0,0,0,0,0
introduced,0,0,0,0,0.00612870275792,0,0
bootstrap,0,0,0,0,0,0,0.0114439582632
element,0,0.0292706333973,0.0103675777568,0.00298151460942,0,0.00375939849624,0
representation,0,0,0,0,0,0,0.00370245708516
order,0.00434782608696,0,0,0,0.00272386789241,0.0031328320802,0
typical,0.00326086956522,0,0,0,0,0,0
produced,0,0,0,0,0.00374531835206,0,0
