,concolato,tiddi,0602117v1,abdessalemprobabilistic,MPEG-DASH
semantic,0,0.0162981054424,0,0,0
dynamic,0,0,0,0,0.0103169096951
existing,0.00899127325382,0,0,0,0
scalar,0,0,0.0136973439356,0,0
query,0,0,0,0.0228559230168,0
whose,0,0.00679087726765,0,0,0
graph,0,0.0298798599777,0,0,0
technique,0,0.00814905272119,0,0,0
program,0.049452002896,0,0,0,0
presentation,0.148356008688,0,0,0,0
∼,0,0,0.0132407658044,0,0
sent,0.0112390915673,0,0,0,0
case,0.00639867829521,0,0,0.00975930957026,0
synchronized,0,0,0,0,0.0137558795935
P,0,0,0.00961780342676,0.00650620638017,0
presented,0,0.00950722817472,0,0,0
solution,0,0,0.00909792216045,0,0.00783154471687
t1,0,0,0,0.0114279615084,0
large,0,0,0.0132407658044,0,0
p,0,0,0.0191762815099,0,0
,0,0,0.0136973439356,0,0
small,0,0,0.00805815962783,0,0.00391577235844
HTTP,0,0,0,0,0.0275117591869
rate,0,0,0.0173499689851,0,0
design,0.00899127325382,0,0,0,0
enhancement,0,0,0,0,0.0103169096951
∧,0,0,0,0.00761864100561,0
section,0.00639867829521,0,0,0.0216873546006,0
multimedia,0.00899127325382,0,0,0,0
template,0.0314694563884,0,0,0,0
international,0,0.00679087726765,0,0,0
method,0.0112390915673,0,0,0,0
metadata,0.0696823677171,0,0,0,0
K,0,0.0108654036282,0,0,0
let,0,0,0.014610500198,0,0
change,0.0112390915673,0,0,0,0
ordinary,0,0,0,0.0171419422626,0
box,0.0112390915673,0,0,0,0
search,0,0.0149399299888,0,0,0
k,0,0,0.0424617662004,0,0
example,0.00285377443445,0.00344861180602,0,0.00362716419242,0
multicast,0,0,0,0,0.0103169096951
implement,0.00899127325382,0,0,0,0
navigation,0.0134869098807,0,0,0,0
dedalo,0,0.0258053336171,0,0,0
ﬁrst,0,0.00301753533026,0.0056516877523,0.00241810946161,0
−,0,0,0.0716827665964,0,0
use,0.00342818305092,0.00150645435486,0,0.00290482729521,0.00238401230037
prei,0,0,0,0.0114279615084,0
cosmological,0,0,0.0287644222648,0,0
would,0.00511894263617,0.00541268786761,0,0,0
live,0,0,0,0,0.0515845484755
dbpedia,0,0.02308898271,0,0,0
η,0,0,0.0118710314109,0,0
type,0.0112390915673,0,0,0,0
V,0,0,0.0283078441336,0,0
knowl,0,0.00950722817472,0,0,0
graphic,0.00899127325382,0,0,0,0
word,0,0.0679087726765,0,0,0
cluster,0,0.043461614513,0,0,0
NTP,0,0,0,0,0.0206338193902
equation,0,0,0.0506801725618,0,0
work,0.00155826502314,0.00244798832665,0,0.00105630083462,0.00238401230037
paragraph,0,0,0,0.0114279615084,0
pdocument,0,0,0,0.028569903771,0
control,0.0112390915673,0,0,0,0
figure,0.00280487704166,0.00150645435486,0,0.0023766768779,0.00190720984029
give,0,0.00463944674367,0.0088379815273,0,0
process,0,0.0154648224789,0,0.00542183865014,0
topic,0,0.02308898271,0,0,0
∝,0,0,0.0278512660024,0,0
reputation,0,0,0,0.00952330125701,0
information,0.00998821052056,0.00258645885451,0,0,0.00654904645854
ﬁe,0,0,0,0.0209512627654,0
delay,0,0,0,0,0.0137558795935
conﬂicts,0,0,0,0.00952330125701,0
ﬁeld,0,0,0.0237420628217,0,0
A,0,0,0.0181958443209,0.0119280450303,0
description,0.0112390915673,0,0,0,0
may,0,0,0,0.0075905741102,0.00978943089609
preprocessing,0,0.00814905272119,0,0,0
fk,0,0,0,0.00952330125701,0
data,0.0112195081666,0.0122399416333,0,0.00369705292118,0.00143040738022
third,0.0112390915673,0,0,0,0
broadcasting,0.0112390915673,0,0,0,0
representation,0,0,0,0.00952330125701,0
order,0,0.00386620561972,0,0,0.00783154471687
typical,0,0,0,0,0.0103169096951
interpretation,0,0.00679087726765,0,0,0
entity,0,0.0176562808959,0,0,0
thermal,0,0,0.0132407658044,0,0
paper,0.00428066165167,0.00215538237876,0,0,0.00327452322927
ﬁnd,0,0.00679087726765,0,0,0
le,0.00511894263617,0,0,0,0.00587365853765
group,0,0.0149399299888,0,0,0
MPEGDASH,0,0,0,0,0.0481455785771
platform,0,0,0,0.00952330125701,0
,0,0,0,0,0.0206338193902
might,0,0.00679087726765,0,0,0
ρ,0,0,0.0164368127227,0,0
HEVC,0,0,0,0,0.0103169096951
fragment,0,0,0,0,0.0275117591869
