,MPEG-Dash,virtualsplitter,MSoS,SyncDelivery,LowLatencyLiveStreaming,DocStreaming,FastDashBootstrap
code,0,0.00840364267826,0,0,0,0,0
semantic,0,0.00466869037681,0,0,0,0,0
global,0,0,0.00550210221222,0,0,0,0
dynamic,0.0040850966364,0.00541020475838,0,0,0,0,0
splitting,0,0.0126238111029,0.00236147590668,0,0,0,0
existing,0,0.00203286434834,0.00199646055699,0,0,0,0.00199632616045
query,0,0.00560242845217,0,0,0,0,0
technique,0,0.00300566931021,0.00295184488335,0,0,0,0
environment,0,0.00420793703429,0.0041325828367,0,0,0,0
GT,0,0,0.00641911924759,0,0,0,0
x3d,0,0,0,0.00348105572282,0,0,0
difference,0,0,0,0,0.00728805299272,0,0
offline,0,0,0,0,0,0.00731545168818,0
splitter,0,0.00653616652754,0,0,0,0,0
accompanying,0,0,0,0,0,0.00853469363621,0
transmission,0,0,0,0,0,0.00731545168818,0
list,0,0.0121385949797,0,0,0,0,0
solution,0.0054467955152,0,0,0.0052291835298,0,0,0
recall,0,0,0.00641911924759,0,0,0,0
small,0.00423023945447,0,0,0,0,0,0
HTTP,0.00736780748163,0,0,0,0.0147130374122,0,0.00770011519032
rate,0,0,0,0,0.00397530163239,0,0
video,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enhancement,0.0063453591817,0,0,0,0,0,0
download,0,0,0,0,0.00298581572335,0,0.0084332747795
even,0,0,0,0.00464140763042,0,0,0
section,0,0.000665717907123,0.000581152421592,0.000459602503957,0.000314914565531,0.000772685111916,0.000518851160644
multimedia,0,0.000645820031903,0.00158563730736,0.00240767253396,0.000801942681767,0.00210822203397,0
decoding,0,0,0,0,0.00397530163239,0,0
experiment,0,0,0,0,0.00469199613669,0,0.00421663738975
new,0,0.000645820031903,0,0.00120383626698,0.000687379441514,0.000843288813587,0.000792765283187
method,0,0,0.00519079744818,0,0,0.00371621868591,0.0045630312239
metadata,0,0.00300566931021,0,0,0,0.0086343312365,0
supporting,0,0.00373495230145,0,0,0,0,0
segmentation,0,0,0.0224340211135,0,0.00255927062001,0,0
downloaded,0,0,0,0,0,0,0.00523974459523
xmlbased,0,0,0,0.00348105572282,0,0,0
bitrate,0,0,0,0,0.00728805299272,0,0
change,0,0.0121385949797,0,0,0,0,0
box,0,0,0,0,0,0,0.00458477652083
buck,0,0,0,0,0.00463785190446,0,0
multicast,0.0063453591817,0,0,0,0,0,0
bom,0,0,0.017423323672,0,0,0,0
X3DOM,0,0,0,0.00812246335324,0,0,0
base64,0,0,0,0,0,0,0.00589471266964
figure,0.00146292276792,0.00113018505583,0.00126850984589,0.00180575440047,0,0.00316233305095,0
DOM,0,0.00961814179267,0.0141688554401,0,0,0,0
inbrowser,0,0,0,0,0,0.0170693872724,0
ﬁrst,0,0.00243943721801,0.00159716844559,0.00202098475942,0,0,0
total,0,0,0,0,0,0,0.00523974459523
use,0.0018286534599,0.000807275039878,0,0,0.00160388536353,0.00168657762717,0.000792765283187
stream,0.00243311212146,0,0,0.00367070582426,0.00114323960763,0.00420763750327,0
consumption,0,0,0,0,0,0.00487696779212,0
live,0.00912417045547,0,0,0,0.00342971882289,0.00210381875164,0.00150687522837
overhead,0,0,0,0,0.0318024130591,0,0
therefore,0,0,0,0,0,0,0.00392980844643
TABLE,0,0,0,0,0.00463785190446,0,0
type,0,0,0.00105488367189,0.00200220317687,0,0.00140254583442,0.00113015642128
separated,0,0,0.00366806814148,0,0,0,0
MPD,0.00460487967602,0,0,0,0.00403887301512,0,0.0156854198321
visual,0,0.00240453544817,0.0041325828367,0,0,0,0
particular,0,0,0,0,0.00463785190446,0,0
graphic,0,0,0,0.00928281526085,0,0,0
